sent_id,d-unit,sentence,annotation1,comments,annotation2,comments,
308088-0004,in,As a previous Internet Manager I would deal with anyone looking to buy a car for a profit and not care if they [came P] in with a broker.,Description,？？？？？,Description,Location? should be A?,
308088-0004,not,As a previous Internet Manager I would deal with anyone looking to buy a car for a profit and not [care S] if they came in with a broker.,Negation,,Negation,,
308088-0004,looking,As a previous Internet Manager I would deal with anyone looking to [buy P] a car for a profit and not care if they came in with a broker.,Possibility,,Possibility,,
308088-0004,would,As a previous Internet Manager I would [deal P] with anyone looking to buy a car for a profit and not care if they came in with a broker.,Possibility,,Aspectual,habitual,
215004,each,The story is about a supernatural and ominous board game which makes animals and other jungle hazards appear upon each [roll P] of the dice.,Aspectual,each represents once in a sequence of events,Aspectual,"feels like Quantity, but with new guidelines, only numbers can be Quantity",
215004,makes,The story is about a supernatural and ominous board game which makes animals and other jungle hazards [appear P] upon each roll of the dice.,Causal,,Causal,,
521002,film,"It was through the Meglin Kiddies that they [made P...] their film [debut ...P], in a 1929 short subject called The Big Revue where they performed a song and dance number called That's the good old sunny south.",Description,indicates what kind of debut,Description,should be A?,
141007,one,"Hepburn had been wary of the medium but it proved to be one [of the P...] main television [events ...P] of 1973, scoring high in the Nielsen ratings.",Description,,Aspectual,?,Aspectual
141007,proved,"Hepburn had been wary of the medium but it proved to be one [of the P...] main television [events ...P] of 1973, scoring high in the Nielsen ratings.",Description,,Possibility,or Possibility?,Possibility
141007,high,"Hepburn had been wary of the medium but it proved to be one of the main television events of 1973, [scoring P] high in the Nielsen ratings.",Degree,how much did we score?,Degree,,
141007,main,"Hepburn had been wary of the medium but it proved to be one [of the P...] main television [events ...P] of 1973, scoring high in the Nielsen ratings.",Description,what kind of tv events,Description,,
251774-0007,feel,I feel [lighter S] and feel that I have more possibilities open to me now than I did before.,Possibility,speaker's perception,Possibility,,
251774-0007,did,I feel lighter and feel that I [have S] more possibilities open to me now than I [have S-remote] did before.,Aspectual,,na,should be F,should be F
450002,started,"When Jennings was 11, he started [attending P] Trinity College School in Port Hope, Ontario, where he excelled in sports.",Aspectual,,Aspectual,,
119026-0003,Give yourself the gift,"Give yourself the gift [of trying P] this place, to see if it fits you...",Description,,Description,or Support?,
476012,becoming,"Johnson has also worked as a motivational speaker, and was an NBA commentator for Turner Network Television for seven years, before becoming a studio [analyst P] for ESPN's NBA Countdown in 2008.",Aspectual,,Aspectual,,
476012,worked,"Johnson has also worked [as a motivational speaker P], and was an NBA commentator for Turner Network Television for seven years, before becoming a studio analyst for ESPN's NBA Countdown in 2008.",Description,,Description,"like ""has been a motivational speaker""",Description
476012,also,"Johnson has also worked [as a motivational speaker P], and was an NBA commentator for Turner Network Television for seven years, before becoming a studio analyst for ESPN's NBA Countdown in 2008.",Description,,Description,should be L?,
275919-0008,never,"Usage of product barcodes and smooth maintenance of inventory with proper recording of transactions like sale, purchase and returns was never [easy S] before.",Negation+Aspectual,,Negation+Aspectual,,
275919-0008,proper,"Usage of product barcodes and smooth maintenance of inventory with proper [recording P] of transactions like sale, purchase and returns was never easy before.",Description,,Description,,
275919-0008,smooth,"Usage of product barcodes and smooth [maintenance P] of inventory with proper recording of transactions like sale, purchase and returns was never easy before.",Description,,Description,,
249123-0004,Can,It wasn't until he gave up and walked out the door that someone asked Can I [help P] you.,Possibility,,Possibility,,
004574-0003,almost,"It is hard to find...and the mexican food is bland, almost [equivalent S] to eating out of a can.",Degree,,Degree,,
004574-0003,hard,"It is hard to [find P]...and the mexican food is bland, almost equivalent to eating out of a can.",Description,,Description,,
235576-0005,relaxed,Family owned and operated makes sure [the atmosphere P] is relaxed and the food home-cooked with style.,Description,,Description,,
235576-0005,style with .,Family owned and operated makes sure the atmosphere is relaxed and the food [home-cooked P] with style.,Description,,Description,,
205001,versatile,He has been known for his versatile [portrayals P] of antiheroes and vulnerable characters.,Description,,Description,,
110908-0004,good,Good beer good [service P] and what more could you want .,Description,,Description,,
110908-0004,could,Good beer good service and what more could you [want P].,Possibility,,Possibility,,
110908-0004,more,Good beer good service and what more could you [want P].,Comparison,,Comparison,,
290594-0012,away,No business is going to [push P] customers away without good reason; so isn't it reasonable to think they might know what they're doing?,Description,,Description,,
290594-0012,n't,No business is going to push customers away without good reason; so isn't it reasonable to [think P] they might know what they're doing?,Negation,,Negation,,
290594-0012,might,No business is going to push customers away without good reason; so isn't it reasonable to think they might [know S] what they're doing?,Possibility,,Possibility,,
290594-0012,going to,No business is going to [push P] customers away without good reason; so isn't it reasonable to think they might know what they're doing?,Aspectual,,n/a,should be F,should be F
290594-0012,good,No business is going to push customers away without good [reason S]; so isn't it reasonable to think they might know what they're doing?,Description,,Description,,
290594-0012,reasonable,No business is going to push customers away without good reason; so isn't it reasonable to [think P] they might know what they're doing?,Description,,Description,,
080178-0005,pleasure a,"The store is clean, run very professionally and a pleasure to be [in S].",Description,,Description,,
080178-0005,very professionally,"The store is clean, [run P] very professionally and a pleasure to be in.",Description+Degree,,Description+Degree,,
081934-0004,whole,"As I have gone through many reviews sites to see if any provider is providing better services or not, and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole [hosting P].",Degree,？？？,Degree,,
081934-0004,good,"As I have gone through many reviews sites to see if any provider is providing better services or not, and I have realized that there were many good [reviews P] about Liquidweb also Steven never faced any server issues in his whole hosting.",Description,,Description,,
081934-0004,many,"As I have gone through many reviews sites to see if any provider is providing better services or not, and I have realized that there were many good [reviews P] about Liquidweb also Steven never faced any server issues in his whole hosting.",Degree,？？？,Aspectual,"feels like Numeric, even though it's not a precise number; could be replaced with one",Aspectual
081934-0004,better,"As I have gone through many reviews sites to see if any provider is providing better [services P] or not, and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting.",Description+Comparison,,Description,,
081934-0004,also,"As I have gone through many reviews sites to see if any provider is providing better services or not, and I have realized that there were many good reviews about Liquidweb also Steven never [faced P] any server issues in his whole hosting.",Description,？？？,Description,should be L?,
081934-0004,better,"As I have gone through many reviews sites to see if any provider is [providing P] better services or not, and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting.",Description+Comparison,,Description,DUPLICATE of row 43 (modifying different Ps),
081934-0004,never,"As I have gone through many reviews sites to see if any provider is providing better services or not, and I have realized that there were many good reviews about Liquidweb also Steven never [faced P] any server issues in his whole hosting.",Negation+Aspectual,,Negation+Aspectual,,
081934-0004,not,"As I have gone through many reviews sites to see if any provider is [providing P] better services or not, and I have realized that there were many good reviews about Liquidweb also Steven never faced any server issues in his whole hosting.",Negation,,Negation,,
249012,trying,"The following year he starred as a vampire researcher trying to [save P] humanity from extinction in the horror-thriller Daybreakers (2010). The feature received reasonable reviews, and earned $51 million worldwide.",Possibility,,Causal,or Possibility?,
216011,to date,"Derek Elley of Variety described the film as ""playful and sporty,"" saying that this was Dunst's best [performance P] to date: ""Believable as both a spoiled ingenue and a lover to two very different men, Dunst endows a potentially lightweight character with considerable depth and sympathy.""",Aspectual,？？？,Aspectual,,
216011,best,"Derek Elley of Variety described the film as ""playful and sporty,"" saying that this was Dunst's best [performance P] to date: ""Believable as both a spoiled ingenue and a lover to two very different men, Dunst endows a potentially lightweight character with considerable depth and sympathy.""",Description+Comparison,,Description,,
216011,"with depth . sympathy "" and","Derek Elley of Variety described the film as ""playful and sporty,"" saying that this was Dunst's best performance to date: ""Believable as both a spoiled ingenue and a lover to two very different men, Dunst [endows P] a potentially lightweight character with considerable depth and sympathy.""",Description,,Description,,
221012,charity,"Her charity [work P] includes participation with the Elizabeth Glaser Pediatric AIDS Foundation, in which she helped design and promote a necklace, for which all proceeds from sales went to the Glaser foundation.",Description,,Description,,
221012,helped,"Her charity work includes participation with the Elizabeth Glaser Pediatric AIDS Foundation, in which she helped [design and promote P] a necklace, for which all proceeds from sales went to the Glaser foundation.",Description,verb,Causal,?,
675012,special,"On June 14, 2012, Carey performed a three song set at a special [fundraiser P...] for United States President Barack Obama [held P...] in New York's Plaza Hotel.",Description,,Description,,
349020-0012,AWAY,[STAY P] AWAY AS FAR AS POSSIBLE.,Description,,Description,should be A?,
043020-0002,very quickly,B&B [came out P] very quickly to give us our quote back in June.,Description,,Description,,
727008,next,"She next [starred P] in Beyond Borders (2003), as a socialite who joins aid workers in Africa and Asia.",Aspectual,,Aspectual,,
348247-0001,happy,happy [customer S],Description,,Description,,
189011,got,Brown later got [a call P] from Alan Horn at Castle Rock Entertainment who was anxious to make the film.,Description,,Description,,Description
604006,not,"McCartney [agreed P], but Lennon did not.",Negation,,Negation,,
054496-0001,able,I just like the fact that he was able to do [the P] specific type of [repair ...P] I wanted (a reball) and give me the longest warranty and even a lower price.,Possibility,,Possibility,,
054496-0001,just,I just [like S] the fact that he was able to do the specific type of repair I wanted (a reball) and give me the longest warranty and even a lower price.,Possibility,？？？,Description,like simply - Possibility?,
047184-0005,social,We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin as well as [the P...] fun filled social [dance ...P] evening held every Saturday evening....,Description,,Description,,
047184-0005,welcoming friendly and,We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we are [taught P] Ballroom and Latin as well as the fun filled social dance evening held every Saturday evening....,Description,,Description,,
047184-0005,really,We have attended A Ward Dance Centre for over a year and really [enjoy P] the friendly and welcoming way we are taught Ballroom and Latin as well as the fun filled social dance evening held every Saturday evening....,Degree,,Degree,,
047184-0005,held,We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin as well as [the P...] fun filled social [dance ...P] evening held every Saturday evening....,Aspectual,,Description,,Description
047184-0005,fun filled,We have attended A Ward Dance Centre for over a year and really enjoy the friendly and welcoming way we are taught Ballroom and Latin as well as [the P...] fun filled social [dance ...P] evening held every Saturday evening....,Description,,Description,,
376320-0001,First,First [trip P] to Canada,Aspectual,,Aspectual,,
315763-0004,extremely,They have been extremely [helpful S] whenever I have asked for help.,Degree,,Degree,,
589002,unwavering,"Depp thanked the Hollywood Foreign Press Association and praised Tim Burton for his ""unwavering [trust P] and support.""",Description,,Degree,,
589002,unwavering,"Depp thanked the Hollywood Foreign Press Association and praised Tim Burton for his ""unwavering trust and [support P].""",Description,,Degree,DUPLICATE of row 70 (modifying different Ps),
135800-0006,back,They told me to [bring P] it back after 5000 miles.,Description,,Description,,
147005,financial,"Hepburn often expressed her gratitude toward Smith for his financial [support P] and moral in the early days of her career, and in her autobiography called herself ""a terrible pig"" for exploiting his love.",Description,,Description,,
147005,herself,"Hepburn often expressed her gratitude toward Smith for his financial support and moral in the early days of her career, and in her autobiography [called P] herself ""a terrible pig"" for exploiting his love.",Description,,Description,should be A,
354336-0004,best the,It's the best [meal P] for the money you will find in all of metro Atlanta.,Description+Comparison,,Comparison,... +Description?,
093655-0009,WAY,Texas Roadhouse is WAY [better S]!!,Degree,,Degree,,
605002,followed,"A seven-week, 25-show [tour P] of Europe followed, during which the band played solely Wings and McCartney solo material with the exception of a few covers, including the Little Richard hit ""Long Tall Sally"", the only song McCartney played during the tour that had previously been recorded by the Beatles.",Aspectual,,Aspectual,indicates temporal order,
605002,25,"A seven-week, 25-[show P] tour of Europe followed, during which the band played solely Wings and McCartney solo material with the exception of a few covers, including the Little Richard hit ""Long Tall Sally"", the only song McCartney played during the tour that had previously been recorded by the Beatles.",Aspectual,,Aspectual,,Aspectual
605002,solely,"A seven-week, 25-show tour of Europe followed, during which the band [played P] solely Wings and McCartney solo material with the exception of a few covers, including the Little Richard hit ""Long Tall Sally"", the only song McCartney played during the tour that had previously been recorded by the Beatles.",Description,？？？,Degree,like only,
249011,co,"2009 saw Hawke appear in two features: New York, I Love You, a romance movie comprising 12 short films, and Staten Island, a crime drama co-[starring P] Vincent D'Onofrio and Seymour Cassel.",Description,,Description,?,
148971-0008,not,"He did not even [give P...] me [the chance ...P] to say i would stay on the ventilator longer, which i would have.",Negation,,Negation,,
180886-0005,general in,"Coming from a person who [hates S] the dentist in general, Dr. Taylor was the best!",Description,？？？,Degree,or Possibility?,
192737-0003,help,"His knowledge and expertise help [smooth the way P] with any planning application, ensuring compliance with the building regulations.",Description,?,Causal,?,
192737-0003,ensuring,"His knowledge and expertise help smooth the way with any planning application, ensuring [compliance P] with the building regulations.",Description,?,Causal,,
133981-0003,yet,"Our bathroom fan, one electric outlet and 2 leaky sinks have yet to be [fixed P].",Aspectual,,Aspectual,,
339176-0007,alltheway,"[Top notch S], all the way!",Degree,,Degree,,
185003,caught,"His stage play A Few Good Men caught [the attention P] of Hollywood producer David Brown, who bought the film rights before the play even premiered.",Description,？？？,Causal,or Causal?,Causal
185003,even,"His stage play A Few Good Men caught the attention of Hollywood producer David Brown, who bought the film rights before the play even [premiered P].",Possibility,？？？,Degree,"potentially Aspectual in this context, but I think this general usage of ""even"" can also occur in non-aspectual contexts",
142081-0003,get,I shopped it around and they were extremely competitive in pricing and also added nitrogen to my tires which should extend the life and get me [better S] gas mileage.,Description,,Causal,,
142081-0003,extremely,I shopped it around and they were extremely [competitive S] in pricing and also added nitrogen to my tires which should extend the life and get me better gas mileage.,Degree,,Degree,,
142081-0003,should,I shopped it around and they were extremely competitive in pricing and also added nitrogen to my tires which should [extend P] the life and get me better gas mileage.,Possibility,,Possibility,,
351561-0002,MAY,"I called dominos tonight, it rang forever, I get put on hold twice without saying a word and FINALLY someone says, MAY I [HELP P] YOU?",Possibility,,Possibility,,
351561-0002,twice,"I called dominos tonight, it rang forever, I get [put on hold P] twice without saying a word and FINALLY someone says, MAY I HELP YOU?",Aspectual,,Aspectual,,
351561-0002,without,"I called dominos tonight, it rang forever, I get put on hold twice without [saying P] a word and FINALLY someone says, MAY I HELP YOU?",Negation,,Negation,,
094621-0007,aswell,"Very [disappointed S] in Kitchen Aid as well, I thought that they pre-screened their vendors for price and quality of work, obviously they do not!",Description,,Description,should be L?,
094621-0007,Very,"Very [disappointed S] in Kitchen Aid as well, I thought that they pre-screened their vendors for price and quality of work, obviously they do not!",Degree,,Degree,,
094621-0007,not,"Very disappointed in Kitchen Aid as well, I thought that they [pre-screened P-remote] their vendors for price and quality of work, obviously they do not!",Negation,,Negation,,
473000,not,"Despite his retirement, Johnson was voted by fans as a starter for the 1992 NBA All-Star Game at Orlando Arena, although his former teammates Byron Scott and A. C. Green said that Johnson should not [play P], and several NBA players, including Utah Jazz forward Karl Malone, argued that they would be at risk of contamination if Johnson suffered an open wound while on court.",Negation,,Negation,,
473000,risk at,"Despite his retirement, Johnson was voted by fans as a starter for the 1992 NBA All-Star Game at Orlando Arena, although his former teammates Byron Scott and A. C. Green said that Johnson should not play, and several NBA players, including Utah Jazz forward Karl Malone, argued that they would be at risk of [contamination P] if Johnson suffered an open wound while on court.",Description,?,Possibility,,
