sent_id,d-unit,sentence,annotator1,annotator2,annotator3
592010,not,"Although Depp has not remarried, he has stated that having children has given him ""real foundation, a real strong place to stand in life, in work, in everything.""",Negation,Negation,Negation
592010,real,"Although Depp has not remarried, he has stated that having children has given him ""real foundation, a real strong place to stand in life, in work, in everything.""",Description,Degree,Possibility
245160-0001,very,very professional / very helpful,Degree,Degree,Degree
245160-0001,very,very professional / very helpful,Degree,Degree,Degree
489000,co,"The following year, Bana co-starred with Daniel Craig and Geoffrey Rush in Steven Spielberg's controversial film Munich.",Description,Description,Description
468005,could,"The Lakers took a 3-2 lead in the series, but Abdul-Jabbar, who averaged 33 points a game in the series, sprained his ankle in Game 5 and could not play in Game 6.",Possibility,Possibility,Possibility
468005,not,"The Lakers took a 3-2 lead in the series, but Abdul-Jabbar, who averaged 33 points a game in the series, sprained his ankle in Game 5 and could not play in Game 6.",Negation,Negation,Negation
729002,also,"She also provided the voice of Master Tigress in the DreamWorks animated movie Kung Fu Panda (2008). With revenue of $632 million internationally, it became the third-highest grossing film of 2008.",Degree,Description,Degree
729002,highest third -,"She also provided the voice of Master Tigress in the DreamWorks animated movie Kung Fu Panda (2008). With revenue of $632 million internationally, it became the third-highest grossing film of 2008.",Comparison+Degree,Comparison,Comparison
710004,back,"He was back on the road by midsummer, and performed before Pope John Paul II at the World Eucharistic Conference in Bologna, Italy.",Aspectual,Aspectual,Aspectual
224906-0006,found,"The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.",Description,Possibility,?
224906-0006,found,"The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.",Possibility,Possibility,?
224906-0006,kept,"The only thing I found edible were the potato wedges, I finally gave up, he kept trying - he found the fried wantons to be OK - His Mongolian bowl was awful.",Aspectual,Aspectual,Aspectual
122882-0007,again,I wouldn't go there again.,Aspectual,Aspectual,Aspectual
122882-0007,n't,I wouldn't go there again.,Negation,Negation,Negation
122882-0007,would,I wouldn't go there again.,Possibility,Possibility,Possibility
600004,tended,"The two quickly became friends; McCartney later admitted: ""I tended to talk down to him, because he was a year younger.""",Aspectual,Aspectual,Aspectual
600004,became,"The two quickly became friends; McCartney later admitted: ""I tended to talk down to him, because he was a year younger.""",Aspectual,Aspectual,Aspectual
600004,quickly,"The two quickly became friends; McCartney later admitted: ""I tended to talk down to him, because he was a year younger.""",Description,Description,Aspectual
201972-0005,lot a of,They spent a lot of time with me and got me into a great pair of shoes.,Degree,Degree,Aspectual
201972-0005,got,They spent a lot of time with me and got me into a great pair of shoes.,Description,Causal,Causal
611001,newly,"In 2009, he played three sold-out concerts at the newly built Citi Field-a venue constructed to replace Shea Stadium in Queens, New York.",Aspectual,Aspectual,Aspectual
026883-0002,n't,Run don't walk.,Negation,Negation,Negation
694011,spurned,"It Ain't Me Babe"", on the surface a song about spurned love, has been described as a rejection of the role his reputation had thrust at him.",Description,Description,Causal
541009,longstanding,"By 1932, despite his longstanding association with the Republican Party, he openly supported Democratic presidential candidate Franklin D. Roosevelt, staging a ""Motion Picture and Electrical Parade Sports Pageant"" at L.A. Stadium in Roosevelt's honor.",Aspectual,Aspectual,Aspectual
541009,openly,"By 1932, despite his longstanding association with the Republican Party, he openly supported Democratic presidential candidate Franklin D. Roosevelt, staging a ""Motion Picture and Electrical Parade Sports Pageant"" at L.A. Stadium in Roosevelt's honor.",Description,Description,Description
345182-0003,could,I asked if they could copy the piece I dropped off.,Possibility,Possibility,Possibility
170650-0006,nearly,"At the front door of his office, I nearly turned around.",Degree,Degree,Possibility
342807-0005,haveto,"All you have to do to make it authentic Jamaican food, is add a whole lot of pepper.",Possibility,Possibility,Possibility
024385-0003,n't,"A bit pricey, so I didn't go very often, but it was always a treat when I did.",Negation,Negation,Negation
024385-0003,Abit,"A bit pricey, so I didn't go very often, but it was always a treat when I did.",Degree,Degree,Degree
121342-0008,completely,"Everything was bland, completely void of any spice or flavor.",Degree,Degree,Degree
196219-0006,OVERALL,"OVERALL DECENT BUT IF YOU ARE EXPECTING A RUTH CHRIS TYPE STEAK, THIS IS NOT IT.",Degree,Degree,Degree
196219-0006,NOT,"OVERALL DECENT BUT IF YOU ARE EXPECTING A RUTH CHRIS TYPE STEAK, THIS IS NOT IT.",Negation,Negation,Negation
474002,returning,"He insisted that his health was not an issue, while downplaying questions about returning as a player, saying, ""I'm retired. Let's leave it at that.""",Description,Aspectual,Aspectual
474002,not,"He insisted that his health was not an issue, while downplaying questions about returning as a player, saying, ""I'm retired. Let's leave it at that.""",Negation,Negation,Negation
018465-0019,pretty,I'm pretty sure for the cast that it was the other way around.,Degree,Degree,Degree
149741-0002,a lot,If you watch a lot of fights (youtube) and research some of the history (http://en.wikipedia.org/wiki/Bullfighting) you will find yourself enjoying it a lot more!,Degree,Aspectual,Aspectual
149741-0002,! a more,If you watch a lot of fights (youtube) and research some of the history (http://en.wikipedia.org/wiki/Bullfighting) you will find yourself enjoying it a lot more!,Comparison+Degree,Comparison,Comparison+Degree
149741-0002,findyourself,If you watch a lot of fights (youtube) and research some of the history (http://en.wikipedia.org/wiki/Bullfighting) you will find yourself enjoying it a lot more!,Description,Possibility,?
165143-0002,so,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Degree,Degree,Degree
165143-0002,so,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Degree,Degree,Degree
165143-0002,so,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Degree,Degree,Degree
165143-0002,not,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Negation,Negation,Negation
165143-0002,todeath,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Degree,Degree,Degree
165143-0002,absolutely,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Degree,Degree,Degree
165143-0002,let,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Causal,Causal,Causal
165143-0002,n't,"First, let me state that although I live in NYC, I am not from NYC, I don't care about baseball and I absolutely love Boston to death (so beautiful, so clean, so awesome).",Negation,Negation,Negation
